Name of Company,Type of Industry,Company Address
Siemens - Singapore,,"14/F Salcedo Tower, 169 H. V. Dela Costa Street, Salcedo Village, Makati City, Philippines"
"Siemens, Inc.",,"14th Floor Salcedo Tower, 169 H.V. Dela Costa St. Salcedo Village Makati, Metro Manila"
SIEMENS KUWAIT,Advertising/Design/Marketing,"Al-Hazeem Complex, Plot No. 24 , Mezzanine Dajeej - Kuwait"
"Silicon Forest Phils., Inc.","Computer Peripheral Equipment, and Computer Software","35 San Antonio St. San Francisco Del Monte, Quezon City"
Silicon Valley Group of Companies,Computer Retailer,#35 San Antonio St. S.F.D.M. Q.C.
"Silver Finance, Inc.",Savings and Loans Associations and a few private lending companies,"3/F Metrostar Building, 1007 Metropolitan Avenue, Makati City, Philippines"
"Sim Computer Sales, Inc.",Software Solution,"2/F Centerpoint Building, Julia Vargas Avenue cor. Garnet Road, Ortigas Center, Pasig City, Philippines"
Simplevia Technologies Inc.,Computer/IT,"405, 4F The Centerpoint Building, Garnet Rd. Cor. J. Vargas Ortigas Center, Pasig City"
Six Senses Resort Phase 2,,"Metropolitan Park, Roxas Boulevard, Pasay City"
"SKI Construction Group, Inc.",,"33/F East Tower, Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City, Philippines"
Sky Cable Corporation,Cable Provider,"409 P. Guecarra St. corner Ibanez St. Brgy. Little Baguio, San Juan, Metro Manila"
"Skyrocket Studios PH, Inc.",Digital Studio,"Unit 1 Carfel Commercial Center, Aguirre Avenue cor. Vinzon Street, BF Homes, Parañaque City, Philippines"
"Skysoft, Inc.",,"2/F Unit 217, AIC Burgandy Tower, Ortigas Center, Pasig City, Philippines"
SKYTRAC BULK HANDLERS INC.,INDUSTRIAL TRANSPORTATION,BRGY. STA. LUCIA ANGAT BULACAN 
Slashdotph Corporation,,"15/F Two E-Com Center, Harbor Drive, MOA Complex, Pasay City, Philippines"
SLE STRUCTURAL SERVICES AND BUILDERS INC.,Construction & Materials,"203 Puno Bldg, 47 Kalayaan Ave, Pinyahan, Quezon City"
"Smartkoin, OPC",Business Process Outsourcing,"17th Floor Techzone Building, 213 Sen. Gil Puyat Ave. San Antonio, Makati City"
SM Development Corporation (SMDC),Real State/Developer,"Unit 907 Platinum 2000, Annapolis St. San Juan City Metro Manila"
SM Engineering Design & Development Corp.,Construction & Materials,"9/F Mall of Asia Arena Annex Building Coral Way cor. J.W. Diokno Boulevard Mall of Asia Complex, 1300 Pasay City,"
"SM Foundation, Inc.""",NO OTHER DOCUMENTS,"10/F One E-Com Center Building, Palm Coast Avenue, MOA Complex, Pasay City, Philippines"
SM Hotels and Conventions Corporation,,"10/F One E-Com Center Building, Palm Coast Avenue, MOA Complex, Pasay City, Philippines"
SM Investment Corporation (SMIC),Conglomerate,"One E-Com Center, Sunset Drive, Mall of Asia Complex, CBP-1A, Pasay City"
SM Keppel,,"12, Adb Avenue, Ortigas Center, Mandaluyong, 1550 Metro Manila"
"SM Mart, Inc.",Retail/Wholesale .,"Mall of Asia Arena Annex Building, Coral Way cor. J.W. Diokno Boulevard, Mall of Asia Complex, Brgy. 76, Zone 10 , CBP-1A, Pasay City, Philippines 1300 "
SM MOA,,"Main Mall SM Central Business Park, SM Mall of Asia, Seaside Blvd, 123 MM, Pasay, 1300 Metro Manila"
SM North Edsa,,"Epifanio de los Santos Ave, Bago Bantay, Quezon City"
"SM Prime Holdings, Inc.","Property, shopping malls and retailing.","SM Corporate Offices, Building D, Jose W. Diokno Boulevard, Pasay City, Metro Manila, Philippines"
"SM Retail, Inc.",Retaill Industry,"SM Corporate Offices, Building A, Jose W. Diokno Boulevard, Pasay City, Metro Manila, Philippines"
SM Supermalls,Conglomerate,"PSCOR Building, J. Elizalde Street, BF Homes, Paranaque City, Philippines"
Smallville Computer Solutions Co. ,System Integration/Software and Computer Services,"Smart Tower, 6799 Ayala Avenue, Makati City, Philippines"
Smallville Information Technology Enterprise Corp.,System Integration and Solutions Provider,403 B GC Corporate Plaza Bldg. Legaspi st. Makati City
"SMART Communications, Inc.",Communications services Remittance,"PLDT San Juan, Ortigas Ave."
SMART Lec,,
"SMDI Consultants, Inc.",Transport Planning & Traffic Engineering Consulting Services,"Unit 302, Platinum 2000, Annapolis St., San Juan City"
"SMITS, Inc.",IT Services,"1701 West Tower, Philippine Stock Exchange Center, Exchange Road Ortigas Center, Pasig City, Philippines 1605"
"SMS Global Technologies, Inc.",,"Penthouse East Tower PSE Center, Exchange Road, Ortigas Center, Pasig City 1605 Metro Manila Philippines"
SMX Convention Center,Events,"Seashell Ln, Pasay, 1300 Metro Manila"
"SNC Engineering Philippines, Inc.",Construction Company,"37 Stella Maris Street, Brgy. Kapitolyo, Pasig City, Philippines 1603"
Snipple Animation Studios,2D-3D Amination Studio Production,"2nd Flr. A&B, Bldg. 4, 13 Economia Rd., Bugumbayan, Quezon City"
Software Ventures International (SVI Corporation),IT/BPO,"Sitio Tagbac, Brgy. San Jose, Antipolo City, Philippines"
Soken Construction,,"#1 J. Aquino Cruz St, Balingasa, Quezon City"
Solid Cement Corporation (CEMEX),Manufacturing/Production,"1172 Edsa Balintawak, Unang Sigaw, Quezon City, Philippines"
Solid Electronics Corporation,Electronics Services,"No. 50 Kapiligan Street cor. Landargon Street, Brgy. Doña Imelda, Araneta Avenue, Quezon City, Philippines"
Solid Steel Machinery & Tools Inc.,"AutoMobiles & Parts, Industrial Engineering","#67 Sen. Gil J. Puyat Avenue, Makati City"
Solutionbase Corporation,Software Development,Unit A17 Trident Tower 312 Sen Gil. Puyat Ave. Makati City 1227
"Solutions Exchange, Inc.",Software and Computer Services,"17th flr, Trident Tower, 312, Sen Gil Puyat Avenue Salcedo, Makati, Metro Manila"
"Solutions General in Electrical and Electro-Mechanical Needs, Inc.",Electrical and Electronics Company,"Unit 1105 East Tower, Phil. Stock Exchange Center, Exchange Road, Ortigas, Pasig City, Philippines"
"Solutions Resource, Inc. (SolutionResource.com)",Software Development,35 San Antonio St San Francisco Del Monte QC
Solvento Philippines Inc.,IT Services and Consultancy,"Unit 21 3F Cedar Executive Building 1006 Arnaiz Ave. Bgry. San Lorenzo, Makati City"
Sonata Premier Project,,"The Residence at the westin manila sonata places c/o Datem Inc. San miguel Ave. Cor. Lourdes St. Ortigas center, Pasig City"
Sonya Garcia's Secret Cottage Restaurant Inc.,Hotel / Resort / Restaurant,"Brgy. Buck State, Alfonso. CAvite"
SourcePad,IT-Enabled Services/BPO,"19A Rodriguez Avenue, San Andres, Cainta, Rizal"
Southwoods Mall Project,Construction and Materials,"Southwoods Ecocentrum ave., Biñan, Laguna"
SoPa (PHIL) Inc.,E-Commerce & IT Solutions,"Penthouse B Lou-Bel Plaza, 7514 Bagtikan St. cor. Chino Roces Avenue, San Antonio Ma-kati City 1203"
"SP Castro and Associates, Inc. (now SPCastro, Inc.)",Project Management,"W-9 Sunblest Compound, Km 23, West Service Road, Cupang, Muntinlupa City, Philippines"
"SP One Source Solutions, Inc.","Printing and ,ailing business","7/F PLDT MGO Building, Legaspi Street cor. Dela Rosa Street, Makati City, Philippines 1229"
Spacewall Metals & Industrial Corporation,,"6/F, The Linden Suites, San Miguel Avenue, Ortigas Center, Pasig City, Philippines 1600"
SPI Global/ Straive (new name as of 2021),,"Espana Blvd, Sampaloc, Quezon City, Metro Manila"
"Spi Technologies, Inc.",BPO,12F Locsin Bldg. Legaspi Cor. Dela  Rosa St. Makati City
"Squeaky Wheel Studio, Inc.",Software Development,"L10-1 One Global Place, 5th Avenue cor. 25th BGC The Fort, Taguig City, Philippines"
St. Matthew's Publishing Corporation,,"4th Level, First RVC Building, 92 Anonas cor. K-6 Street, Brgy. East Kamias, Quezon City, Philippines 1102"
St. Rook Corp.,Construction and Materials,"Blk 4 Lt 2 Amsterdam St., Pallas Athena Exec. Vill. Anabu II-C, Imus City, Cavite"
Sta. Clara International Corporation,"civil infrastructure, industrial and telecommunications","2/F Highway 54 Plaza, EDSA, Wack-wack Mandaluyong City, Philippines 1550"
"Sta. Lucia Realty and Development, Inc.",Construction Company,"SLEGM Building 2, Cainta, Rizal, Philippines"
Stealth Ventures Corporation,Lightning Solusions Provider,"5B Road 29 Project 6, Quezon City"
START UP ACADEMY,,
StartUp Village,Startup Incubator/Accelerator,"3F, Shops at Ayala North Exchange, 6796, Ayala Avenue, cor. Salcedo St., Makati City, 1226"
"Stratworks, Inc",Advertising / Design / Marketing,"Capital House, 14th, 9th Ave cor Lane S, BGC, Taguig City"
"Static Power Phillippines, Inc.",Electric and Electronic Control System Provider,5 Gen. Lim San Antonio Village Pasig City
"Status Media Group, Inc.",Newpaper/Press/Journal(RETAIL),"Unit 205 Oppen Building, No. 349 Senator Gil Puyat Avenue, Makati City, Philippines"
"Steel Systems Express, Inc.",Structural steel Detailing,"6/F RIMA Building, 161 Pasig Boulevard, Lakeview Drive cor. Kawilihan Village, Bagong Ilog, Pasig City, Philippines"
"Stefanini Philippines (Stefanini Tech, Inc.)",IT Outsourcing Solutions,Pasay City Manila
Sterling Bank of Asia,"Finance, Real Estate, Manufacturing","Sterling Bank Corporate Center, Ortigas Ave., Greenhills, San Juan City, Philippines 1500"
"Sterling Global Call Center, Inc.",IT Company,"20/F Raffles Corporate Center, Emerald Avenue, Ortigas Center, Pasig City, Philippines 1600"
"STMicroelectronics, Inc.","Manufacturing Services for Electronics Products Including Semiconductors, Multimedia Products, Power Applications, and Sensors","9 Mountain Drive, LISP II, Brgy. La Mesa, Calamba, Laguna"
Stolenshots Studios,Advertising/Design/Marketing,Unit 905 Flair South Tower Reliance cor Pines St. Brgy Highway hills Mandaluyong City
Straightarrow Corporation,"outsourcing company/advertising agencies, marketing teams","Unit 205 Silver City, Frontera Verde Drive cor. Doña Julia Vargas Avenue, Pasig City, Philippines 1600"
"Strata, Inc.",HR Consulting,"6F Centerpoint Building, Julia Vargas Ave., Ortigas Center, Pasig City"
"Strategic Organizational Rewards Management, Inc. (Strata, Inc.)",,"6/F Centerpoint Building, Julia Vargas Avenue, Ortigas Center, Pasig City, Philippines 1605"
"Strategic Systems & Info. Professionals Asia, Inc. (SSIP)",Software Development,"10/F Salcedo Tower, 169 H. V. Dela Costa Street, Salcedo Village, Makati City, Philippines"
"StrategicSynergy, Inc. (SSI)",IBM Business Partner,"7/F 5600 Sergio Osmeña Highway cor. Arellano Street, Makati City, Philippines 1235"
STRATEGICSYNERGY INC.,Software and Conputer Services / Technology Hardware & Equipment,"5600 Sergio Osmeña Highway corner Arellano St. Brgy, Palanan, Makati City"
Stratpoint Technologies Inc.,Software and Conputer Services,"Unit 601 Globe Telecom Plaza, Tower 1, Pioneer St. cor. Madison St., Mandaluyong, Metro Manila"
"Stream Engine Partners, Inc.","Agencies and Sales Representatives, Agents","Unit 1607 Prestige Tower, Emerald Ave., Ortigas Center, Pasig City, Philippines"
Stream Global Services,BPO,"2/F Worldwide Corporate Center, Shaw Boulevard, Brgy. Highway Hills, Mandaluyong City, Philippines"
Streamline Ent.,,
"Structnet Solutions, Inc.",Engineering/Construction Project,"Unit 308 DM Building, Visayas Avenue cor. Congressional Avenue, Quezon City, Philippines"
Student Activities & Development Unit,,
SUA,,
Suiterus Technologies Inc.,Software and Computer Services,"1102 Lansdale Tower, 1103 Mo. Ignacia St. Cor. Timog. Brgy. Paligsahan, Quezon City"
Summit Media,Publishing Company,"Robinsons Cybergate Center Tower 3 6th Floor Mandaluyong City, Philippines"
Summit Publishing Co. Inc,,
Sun Cellular,Telecommunication,"9F Cybergate 3, Pioneer st. Mandaluyong City"
"Sun Life of Canada Philippines, Inc.",Financial Services,"2/F Sun Life Centre, 5th Avenue cor. Rizal Drive, Bonifacio Global City, Taguig City, Philippines 1634"
Sun Microsystems,IT/Operation Internship .,"32/F Philamlife Tower Building, Paseo de Roxas, Makati City, Philippines"
Sunnies by Charlie,,"Suites 31, 3/F PARC House Building, Brgy. Wack Wack, Greenhills East, 227 EDSA, Mandaluyong City, Philippines"
"Super-Aire Refrigeration and Contractors, Inc.",General Retailer,"3 St. Francis St. Corner Lantana St. Bgry. Immaculate Conception, Cubao Quezon City"
"Surge On Technology and Management, Inc.",Software and Outsourced Services,"3/F Vignet Center, E. Rodriguez Jr. Avenue, Bagumbayan, Quezon City , Philippines"
Sutherland,Digital Transpormation Company,"10/F Total Corporate Center, Triangle Drive, Bonifacio Global City, Taguig, Philippines"
Suy Sing Commercial Corporation,Distribution Company,"10/F San Fernando Tower, 514 Plaza del Conde cor. Muelle de Binondo Street, Binondo, Manila, Philippines"
Suyen Corporation (Bench),General Retailer,"2214 Tolentino Street, Brgy. Sta. Clara, Pasay City, Philippines"
"Sy^2 & Associates, Inc.",Structural Engineering Firm,"Unit 504 Pryce Center, 1179 Chino Roces Ave. Makati"
Sykes Asia,BPO ,| K-Pointe Building | 23 Gilmore Street | Quezon City 1112 Philippines
"Sykes Enterprises, Incorporated",BPO ,
Syncom Asia Pacific Incorporated,Medical Equipment Supplier / Pharmaceutical,"5 Marcus Aurelius St. Kingsville Subdivision, Mayamot, Antipolo City
"
Synergy 88 Studios,Support Services/Technology Hardware & Equipment/BPO,"4/F Estuar Building, 41 Timog Avenue, Brgy. South Triangle, Quezon City, Philippines"
"Synthesis Innovations, Inc.",Software Development,"4/F BJS Building, 1869 P. Domingo Street, Brgy. Kasilawan, Makati City, Philippines"
Syrichta Inc.,Software & Computer Services,"44 Aurora Avenue, Aurora Subdivision, Angono, Rizal 1930"
"Systech Lighting And Controls, Inc. (SLCI)",Lighting Supply and Equipment Company,"No. 2 Scout Rallos cor. Mother Ignacia Avenue, Quezon City, Philippines 1103"
System Factors Corporation,Electronic and Electrical Equipment,3F Goldloop Towers Escriva Dr. Ortigas Center Pasig City
Systems Energizer Corporation,Electronic and Electrical Equipment,"Units 4 & 5, Fagon Building, 972 Aurora Boulevard, Quezon City, Philippines"
Tactiles Corporation,Software and Computer Services,"3109 One Corporate Center, Julia Vargas Ave. cor. Meralco Ave., Ortigas Center, Pasig City"
Tagpros OPC,Education/ Training,"Rm. 302, Juinio Hall, National Engineering Center, Agoncillo corner Osmena, University of the Philippines, Diliman, Quezon City"
Taktyl Studios Inc.,Software and Computer Services,"10C Fort Palm Springs 1st Ave Cor. 30th St. Bonifacio Global City, Taguig"
Tanda Workforce Solutions Inc.,Software Solution,"19th Floor, Octagon Centre, San Miguel Ave. Ortigas Center Pasig City"
Tanduay Distillers,,"348 J. Nepomuceno, San Miguel District, Manila, Philippines"
Tangent Software Solutions,Software Development,"Unit A 2/F, No. 624 Quirino Highway, Bagbag, Quezon City, Philippines"
TaoCrowd (formerly August 99),Information Technology,"Unit 707 One Park Drive, Bonifacio Global City, Taguig, 1634"
"Taodharma, Inc. (Allphones)",Mobile Tech. Distribution,"2291 Tao Corp. Center, Chino Roces Avenue Extension, Makati City, Philippines"
TAGPUAN SA QC,Hotel/Resort/Restaurant,1278RiversideStreetBrgyComm.QuezonCity
Tata Consultancy Services (Philippines) Inc.,IT Consulting,Bench Tower 30th St Corner Rizal Dr Crescent Park West 5 Bonifacio Global City Taguig City 1634
"Taters Enterprises, Inc. ",Hotel / Resort / Restaurant,"TEI Center, 3536 Hilario St., Palanan, Makati City 1235"
Taxumo Inc.,Software and Computer Services,"Unit 1206 12F Trade and Financial Tower, 32nd St. Cor 7th Ave, BGC, Taguig City"
Team Energy Corporation,Supplier Of Electricity,"Suite 501 CTC Building, 2232 Roxas Boulevard , Pasay City, Philippines"
"Team Manila Graphic Design Studio, Inc.",Graphic Design Agency,"3/F Valdecon Building, Jupiter Street, Brgy. Bel-Air, Makati City, Philippines"
"Team O.P.S. Inc.,",Web and Software Development,"Unit B-8 Luisa Building 2, 107 Maginhawa Street, Teacher Village, Quezon City, Philippines"
Tech Werk Systems Corporation,Electrical Contractor,"Willworth Place, 1620 F. P. Yuseco Street, Sta. Cruz, Manila, Philippines"
"Techfactors, Inc.",General & Wholesale Trading .,"101 V. Luna Avenue Extension, Sikatuna Village, Diliman, Quezon City, Philippines"
Techmonde Corporation,,"17B Chatham House, 116 Valero Street cor. Rufino Street, Salcedo Village, Makati City, Philippines"
Technohub Manulife,,UP Ayala Technohub
Technokids Ph,,"3/F Legaspi Towers 300, 2600 Roxas Boulevard, Malate, Maynila, 1004 Kalakhang Maynila"
"Technology Support Services, Inc.",,"20/F Wynsum Corporate Plaza, F. Ortigas Jr. Rd., Ortigas Center, Pasig City, Philippines"
Technolux Equipment & Supply Corporation,,"Technolux Building, 2176 Primo Rivera Street, La Paz, Makati City, Philippines"
"Teekay Shipping Philippines, Inc.",,"Unit 201, 301 & 302 Alvion Center, 110 Thailand Street, Legaspi Village, Makati City, Philippines"
"Teledevelopment Services, Inc.",BPO Support Services,"35/F Robinsons Equitable Tower, ADB Avenue, Ortigas Center, Pasig City, Philippines"
"TeleEye Philippines, Inc.",CCTV System Sales/Installation/Repair and Maintenance,#42 Tomas Morato Ave. Quezon City
Telegistics Global,IT Company,"32B2 3/F Francesca Tower, EDSA cor. Scout Borromeo, Quezon City, Philippines"
"Teleperformance Philippines, Inc. (Telephilippines, Inc.) ",BPO Support Services,"Greenfield District, EDSA cor. United Street, Mandaluyong City, Philippines"
TeleTech Customer Care Management Philippines,BPO Support Services,"Building F, SM Corporate Offices, J. W. Diokno Boulevard, Bay City, Pasay City, Philippines"
Telkha Network Inc.,Telecommunication,"7f HighStreet South Corporation tower 1, 26th st. cor. 9 Ave. BGC Taguig City"
"Telstra International Philippine, Inc.",BPO Support Services,15 Zuelig Bldg. Makati Ave. corner Paseo De Roxas Makati City 1226
Telus International,BPO Support Services,"G/F TELUS House, Araneta Center, Quezon City, Philippines"
Terabyte Solutions Inc.,IT Company,"2203B West Tower, Philippine Stock Exchange Center, Ortigas, Pasig"
Teratomo Corporation,Software and Development,DOST PEZA OPEN TBI BLDG. CP GARCIA AVE KRUS NA LIGAS DILIMAN QUEZON CITY
Thakral One Inc.,Software and Computer Services,"2/F Astron Building, 102E E. Rodriguez Jr. Avenue, Barrio Ugong, Pasig City, Philippines 1604"
"Thirdera PH, Inc.",Software and Computer Services,9th Flr WeWork Uptown Bonifacio Tower 3 36th St Cor. 11th Ave Taguig City 1634
"The Arc Group, Inc.",Advertising/Design/Marketing,"Unit 8 4/F Chateau Verde Mansions, Kaimito Street, Valle Verde 1, Pasig City, Philippines"
The Celandine,,"A. Bonifacio Ave, Quezon City, Metro Manila"
"The Fookien Times Yearbook Publishing Company, Inc.",IT Operates in the Publishing Industries,"Cor. Railroad Street & 13th Street, Port Area, Manila, Philippines"
"The Nielsen Company (Philippines), Inc.",Market Research,"Wynsum Corporate Plaza Ortigas Business Center 1600, 22 Emerald Avenue, San Antonio, Pasig, Metro Manila"
"The Radio Partners, Inc.",,"Unit 906, Paragon Plaza, EDSA cor. Reliance, Mandaluyong City, Philippines"
The Real Bank (A Thrift Bank),Banking and Finance,"7/F President Tower, No. 81 Timog Avenue, Diliman, Quezon City, Philippines"
The Rosetta Group,IT Company,"20/F Security Bank Center, 6776 Ayala Avenue, Makati City, Philippines 1226"
The Rosetta Group,IT Company,"20/F Security Bank Center, 6776 Ayala Avenue, Makati City, Philippines 1226"
Theorem Global Business Outsourcing Corporation,Management Consultant,"30/F IBM Plaza, Eastwood Cyberpark, Quezon City, Philippines"
Therma Mobile Inc.,Retail and Power Services,"G/F PFDA BLDG. Navotas Fishport Complex, Northbay Blvd. Navotas City"
Tic Toc Games Inc.,Software and Computer Services,"8/F Rockwell Business Center, Ortigas Center Ortigas Ave, Ugong., Pasig City"
TIM ENGINEERING SYSTEMS SOLUTIONS CORP,Software and Conputer Services / Technology Hardware & Equipment,"5600 Sergio Osmeña Highway corner Arellano St. Brgy, Palanan, Makati City"
Texas Instruments Inc.,Semiconductors,"PEZA LOAKAN ROAD, BAGUIO CITY, PHILIPPINES 2600"
"Timefree Innovations, Inc.",Software and Computer Services,2501 Cityland Pasong Tamo Tower Chino Roces Ave. Makati City
"Toei Animation Philippines, Inc.",Entertainment/Media,"9/F CyberOne Building, Eastwood City, Cyberpark, E. Rodriguez Jr. Avenue, Bagumbayan, Quezon City, Philippines"
Tollways Management Corporation (TMC),Transportation and Logistics,"Km 12 Balintawak Toll Plaza, East Libis, Baesa, Brgy. 160, Caloocan City, Philippines 1400"
Total Information Management Corporation,Software and Computer Services,"5600 Sergio Osmena Highway corner Arellano St., Brgy. Palanan, Makati City"
"Top Networx Solutions, Inc.",Software and Computer Services,"4/F YL Holdings Building, 115 V. A. Rufino Street cor. Salcedo Street, Legaspi Village, Makati City, Philippines"
Top That Corporation,Wellness and Beauty Company,"Unit 207-208 Gold Condominium, #15 Annapolis Street, Greenhills, San Juan City, Philippines"
TOPi Technology Solutions,IT Services,"1102 & 1202 Prestige Tower, Emerald Avenue, Ortigas Center, Pasig City, Philippines 1605"
Touch Solutions Incorporated,IT Solution,"9/F Jafer Place, 19 Eisenhower Street, Greenhills, San Juan City, Philippines 1504"
Tourism Promotions Board Construction,Agency of Department of Tourism,"4F. Legaspi Towers 300, Roxas Blvd Manila"
"Toyota Lucena City, INC.",Automobiles & Parts,"Lot #3719C1A PAN- Philippine Highway, Brgy IBABANG DUPAY, Lucena City"
Toyota Motor Philippines Corporation,Automotive Manufacturing,"Santa Rosa - Tagaytay Highway, Santa Rosa City, Laguna, Philippines 4026"
Toyota Motors (Commenwealth),Car Dealer,"L5B Commonwealth Avenue, Old Balara, Quezon City, Philippines"
Toyota Motors (Quezon Ave.),,"728 Quezon Avenue, Quezon City, Philippines"
Trans Asia Auto Body Corporation,Auto Repair Shop,"Deparo Road, Novaliches, Caloocan City, Philippines"
Trans-Phil Land Corporation ,Construction and Retail State,"no.22 Lirio Street, Tahanan Village, Paranaque City"
Transnational Diversified Group of Companies,"Trasportation/Logistics/Shipping & Cargo Forwarding,Warehouse .","The Penthouse, Net Quad Building, 4th Avenue cor. 30th Street, E-Square Crescent Park West, Bonifacio Global City, Taguig, Philippines 1634"
Transtech-Philippines System Corporation,Industrial Engineering,"Unit 2204 Tower 1 Entrata Urban Complex, 2609 Civic Drive, Filinvest, Alabang City, Muntinlupa city"
"TrendMicro (Philippines), Inc.",Computer/IT/Software,"8F The Rockwell Business Center Tower 2, Ortigas Avenue, Pasig City, Philippines 1600"
"Trends and Technologies, Inc.",Retail/Merchandise,"20/F Trafalgar Plaza, 105 H. V. dela Costa Street, Salcedo Village, Makati City, Philippines 1227"
Tresmax.ph,Software Company,"9/F One Corporate Center Building, Ortigas Center, Pasig City, Philippines "
"Tricom Dynamics, Inc.",Retail/Merchandise,"3/F Metrohouse Building, 345 S.G. Puyat Avenue, Makati City, Philippines 1200"
"Tridel Technologies, Inc.",,"7/F Hanston Buidling, Emerald Avenue, Ortigas Center, Pasig City, Philippines"
Trident Electronics Corporation,Manufacturing/Production,"Trident Corporate Centre, No. 6 Sct. Magbanua Street, Quezon City, Philippines"
Trigon Management and Industrial Corporation,Industrial Engineering/Construction & Materials,"Jemtee Building, 677 Boni Ave., cor. Aliw Street, Brgy. Plainview, Mandaluyong City"
Trion Tower 3,,"8th Avenue corner Mckinley Parkway Bonifacio Global City, Taguig City"
"Tsukiden Global Solutions, Inc.",Software Development .,"2102 One Corporate Centre, Julia Vargas cor. Meralco Avenue, Ortigas Center, Pasig City, Philippines 1605"
TSW Global Solutions Corporation,BPO,"17/F Octagon Building, San Miguel Avenue, Ortigas Center, Pasig City, Philippines"
TUV Rheinland Phil. Inc.,"Certification, Inspection and 3rd Party Audit",G/F La Fuerza Bldg 1 Cor. Sabio St. Chino Roces Ave. Makati City
Tyval Industrial Supply Corporation,Equipment Supplier,"32-33 A Zeta Building, 191 Salcedo Street, Legaspi Village, Makati City, Philippines"
Uber Philippines Inc ,,"21F,22F, AND 23F SM AURA TOWER 26th street cor MCKINLEY PARKWAY ,FORT BONIFACIO TAGIUG CITY PHILIPPINES , 1630"
"Ubiquitous Technologies Philippines, Inc.",Engineering business and Research Center of Software development,"5F King's Court I, 2129 Chino Roces Avenue, San Lorenzo Village, Makati City, Philippines"
"UCPB General Insurance Co., Inc. (UCPB GEN)",,"5/F UCPB Corporate Offices, 7907 Makati Avenue, Makati City, Philippines"
"Ullink Nyfix Philippines, Inc.",Computer/Information Technology,"5/F Multinational Bancorporation Building, 6805 Ayala Avenue, Makati City, Philippines 1226 "
"Ultimas Soluciones, Inc. (an Affiliate of Jimac, Inc.)",Hardware and Software Provider,"3/F LOL Realty Building cor. Asuncion Street, Caloocan City, Philippines"
"Una Grafika Manila, Inc.",Graphics and Integrated Marketing Communications,"W 1203-B Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City, Philippines"
"Unilever Philippines, Inc.",Manufacturing Company,"1351 United Nations Avenue, Paco, Manila"
"Unioil Petroleum Philippines, Inc.",Fuel Trading and Retail,"2702A West Tower Building, PSE Exchange Center, Exchange Road, Ortigas Center, Pasig City, Philippines 1600"
Union Bank of the Philippines,Banks/Financial Services,"Union Bank Plaza Meralco ave. corner Onyx Rd. Ortigas Center, Pasig City"
Union Galvasteel Corporation,Manufacture & Distribution,"Bacnotan Drive, Brgy. Real, Calamba City, Laguna, Philippines"
Unisilver Time,Watch Industry,"10/F AIC Center, No. 204 Escolta Street, Binondo, Manila, Philippines"
"Unison Computer Systems, Inc.",IT Services,"120 E. Rodgriguez Jr. Avenue cor. Ortigas Avenue, Brgy. Ugong, Pasig City, Philippines 1604"
United Coconut Planters Bank,Financial Services,"7907 UCPB Bldg. Makati Ave., Makati City"
"United Health Group Services, Inc.",Technology Hardware and Equipment,"Bldg. N UP Ayala Land Technohub, Central Avenue Gate, Diliman, Quezon City, Philippines 1101"
United Koean Community Association,Non-Government Organization,"Unit 1104 Antel Corporate Center, 121 Valero St., Bel-Air, Makati"
United Laboratories (UNILAB),BioTechnology/Pharmaceutical/Clinical research,"No. 66 United Street, Mandaluyong City, Philippines"
"UNIVERSAL ACCESS AND SYSTEMS SOLUTIONS, INC.",Software & Computer Services,"Rm. 108-109 Reliance IT Center Building #99 E. Rodriguez Jr. Avenue Barrio Ugong, Pasig City"
Universal Robina Corporation (URC),Food Manufacturing,"TERA Tower, Bridgetowne, Ugong Norte, Quezon City"
Universal Storefront Services Corporation (USSC),E.Commerce Company,"711 EDSA, Cubao, Quezon City, Philippines 1109"
University Home Summit 4,,"Piy Margal cor. Dos Castillas, Sampaloc, Manila"
Unli Box Enterprise Corporation,Game Development,"Unit 2306 23/F The Orient Square Building, F. Ortigas Road, Ortigas Center, Pasig City, Philippines"
Unos Aircon Corporation,Aircon Dealer,3F Annex Bldg. Kings Court 2129 Don Chino Roces Ave. Makati City
Unxprovi8 Training & Tutorial Services,Tutorial/Education,Unit 302 Corporate 101 Bldg. Mother Ignacia Ave. Quezon City
UP Ayala Technohub,,UP Ayala Technohub Bldg J
"Urbano, Palamos & Fabros",Legal Services,"Suite 1510 Future Point Plaza I, 112 Panay Avenue, Quezon City, Philippines 1100"
US Auto Parts Network (Philippines) Corporation,Transportation Equipment Manufacturing,"9/F Robinsons Cybergate Plaza, EDSA, Boni Avenue, Mandaluyong City, Philippines"
Usher Technologies,,"Unit 1409, Corporate 145 bldg. 145 Mother ignacia st., Brgy. South Triangle Quezon City"
Ushio Philippines,Electric Lighting Equipment Manufacturer,"Block 2 Lot 7-8 Ph 3 FCIE, Brg. Langkaan 2, Dasmariñas City, Cavite"
Ust Guidance Office,Academic Institution,
UST SHS Building,City Government,"Espana Cor Extremadura & Cayco Sts., Sampaloc, Manila"
Valenzuela City Hall,,"McArthur Highway, Valenzuela City, Philippines"
Vector Outsourcing Solutions Phils. Inc.,Software and Computer Services,"6F Octagon Center, San Miguel Ave, Brgy. San Antonio, Ortigas Center, Pasig City"
